Unnamed: 0,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage,Monat
91,nicht klassifiziert,2018-01-25 00:00:00,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1700,Mottorrad (50cc),Gut,1
92,Bundesstrasse,2018-02-11 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,930,Auto,Gut,2
93,nicht klassifiziert,2018-11-10 00:00:00,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1943,Auto,Gut,11
94,nicht klassifiziert,2009-12-04 00:00:00,50,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1126,Bus,Gut,12
95,nicht klassifiziert,2010-03-04 00:00:00,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2300,Taxi,Gut,3
96,nicht klassifiziert,2018-05-28 00:00:00,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,1930,Auto,Gut,5
97,Kraftfahrzeugstrasse,2018-09-28 00:00:00,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,6,trocken,weiblich,841,Auto,Gut,9
98,Bundesstrasse,2018-08-05 00:00:00,46,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2330,Mottorrad (500cc),Gut,8
99,Autobahn,2018-05-23 00:00:00,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1104,Auto,Gut,5
100,nicht klassifiziert,2018-04-22 00:00:00,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1715,Taxi,Gut,4
101,Bundesstrasse,2018-11-24 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1105,Auto,Gut,11
102,nicht klassifiziert,2018-02-01 00:00:00,32,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1448,Bus,Gut,2
103,nicht klassifiziert,2018-10-17 00:00:00,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1520,Auto,Gut,10
104,Bundesstrasse,2018-07-15 00:00:00,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1420,Mottorrad (500cc),Gut,7
105,nicht klassifiziert,2018-05-04 00:00:00,67,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1741,Auto,Gut,5
106,Bundesstrasse,2018-02-08 00:00:00,23,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1130,Auto,Gut,2
107,nicht klassifiziert,2009-12-01 00:00:00,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1750,Auto,Gut (starker Wind),12
108,Bundesstrasse,2018-09-23 00:00:00,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,752,Fahrrad,Gut,9
109,Bundesstrasse,2018-07-17 00:00:00,18,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1534,Auto,Gut,7
110,Bundesstrasse,2018-11-09 00:00:00,35,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,männlich,1940,Auto,Gut,11
111,nicht klassifiziert,2009-12-19 00:00:00,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,Frost / Eis,männlich,700,Bus,Gut,12
112,Landesstrasse,2018-08-11 00:00:00,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,720,Auto,Gut,8
113,Bundesstrasse,2018-12-03 00:00:00,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1320,Auto,Gut,12
114,Bundesstrasse,2010-03-11 00:00:00,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1720,Auto,Gut,3
115,Bundesstrasse,2018-12-26 00:00:00,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1245,Auto,Gut,12
116,Bundesstrasse,2018-08-29 00:00:00,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,3,trocken,männlich,1110,Auto,Gut,8
117,Bundesstrasse,2018-09-04 00:00:00,54,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1745,Fahrrad,Gut,9
118,nicht klassifiziert,2009-10-14 00:00:00,18,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,2220,Auto,Regen,10
119,Bundesstrasse,2012-10-17 00:00:00,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,4,trocken,weiblich,1800,Auto,Gut,10
120,nicht klassifiziert,2018-10-08 00:00:00,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,829,Auto,Gut,10
121,Bundesstrasse,2018-02-01 00:00:00,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,810,Auto,Schnee (starker Wind),2
122,nicht klassifiziert,2018-10-13 00:00:00,34,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,143,Auto,Gut,10
123,nicht klassifiziert,2018-07-31 00:00:00,39,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,930,Bus,Gut,7
124,nicht klassifiziert,2018-08-09 00:00:00,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,800,Fahrrad,Gut,8
125,nicht klassifiziert,2018-06-09 00:00:00,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1248,Auto,Andere,6
126,Autobahn,2018-03-05 00:00:00,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1609,Auto,Gut,3
127,Bundesstrasse,2018-07-20 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1200,Auto,Gut,7
128,nicht klassifiziert,2018-06-28 00:00:00,42,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1720,Auto,Gut,6
129,nicht klassifiziert,2018-07-17 00:00:00,26,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,4,1,trocken,weiblich,2356,Kleinbus,Gut,7
130,Bundesstrasse,2011-12-16 00:00:00,27,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,1920,Auto,Regen,12
131,nicht klassifiziert,2018-09-17 00:00:00,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2100,Auto,Gut,9
132,Landesstrasse,2018-09-28 00:00:00,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,647,Taxi,Gut,9
133,nicht klassifiziert,2018-08-19 00:00:00,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1710,Fahrrad,Gut,8
134,Bundesstrasse,2018-07-23 00:00:00,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,713,Fahrrad,Regen,7
135,nicht klassifiziert,2018-09-26 00:00:00,46,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,männlich,838,Transporter,Regen,9
136,Bundesstrasse,2018-02-18 00:00:00,32,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2115,Auto,Regen,2
137,Bundesstrasse,2012-03-27 00:00:00,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,730,Auto,Gut,3
138,nicht klassifiziert,2018-09-09 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2005,Mottorrad (50cc),Gut,9
139,nicht klassifiziert,2018-05-05 00:00:00,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1705,Fahrrad,Gut,5
140,Bundesstrasse,2018-09-14 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1835,Fahrrad,Gut,9
141,nicht klassifiziert,2018-01-19 00:00:00,30,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1230,Bus,Gut,1
142,Bundesstrasse,2018-04-15 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1505,Auto,Gut,4
143,nicht klassifiziert,2011-10-13 00:00:00,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,815,Auto,Gut,10
144,Bundesstrasse,2009-05-30 00:00:00,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,145,Auto,Gut,5
145,Autobahn,2018-09-27 00:00:00,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1511,Auto,Gut,9
146,nicht klassifiziert,2018-05-14 00:00:00,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1225,Auto,Gut,5
147,nicht klassifiziert,2010-05-27 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2315,Mottorrad (50cc),Gut,5
148,nicht klassifiziert,2012-10-03 00:00:00,76,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,2105,Auto,Gut,10
149,nicht klassifiziert,2018-02-09 00:00:00,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,Frost / Eis,weiblich,725,Auto,Gut,2
150,nicht klassifiziert,2018-01-10 00:00:00,42,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,2310,Auto,Gut,1
151,nicht klassifiziert,2018-11-18 00:00:00,30,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,1935,Mottorrad (50cc),Gut,11
152,nicht klassifiziert,2018-06-29 00:00:00,22,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1335,Auto,Gut,6
153,nicht klassifiziert,2018-08-10 00:00:00,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1444,Mottorrad,Gut,8
154,nicht klassifiziert,2018-06-01 00:00:00,31,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,131,Auto,Gut,6
155,Bundesstrasse,2018-07-10 00:00:00,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1330,Auto,Gut,7
156,Bundesstrasse,2018-04-19 00:00:00,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,830,Auto,Gut,4
